from,to,relationship
KK,498,1
JT,498,1
DB,498,1
AA,498,1
AM,498,1
IR,498,1
UL,500,1
LK,500,1
NR,500,1
SW,500,1
CS,500,1
CL,501,1
KS,501,1
LM,501,1
KD,501,1
EL,501,1
AB,502,1
FT,502,1
AL,502,1
ER,502,1
RH,503,1
CM,503,1
KP,503,1
RK,503,1
CLA,504,1
AGL,504,1
SB,504,1
CH,504,1
MW,504,1
OS,505,1
MS,506,1
VG,506,1
MB,506,1
RA,506,1
SE,507,1
MAS,507,1
JDW,507,1
MF,507,1
BH,508,1
RP,508,1
HW,508,1
MR,510,1
JVA,510,1
CMA,510,1
DK,511,1
CSW,511,1
JV,512,1
CK,512,1
JS,512,1
AMY,512,1
KL,513,1
CAD,513,1
RL,514,1
CB,514,1
RLA,514,1
RD,514,1
MFR,514,1
NSCH,515,1
PP,515,1
MM,516,1
MSCH,520,1
SP,520,1
VJ,520,1
LK,SPD,2
OS,SPD,2
SE,SPD,2
MR,SPD,2
KL,SPD,2
NSCH,SPD,2
MM,SPD,2
MS,SPD,2
JT,Bündnis 90/​Die Grünen,2
AB,Bündnis 90/​Die Grünen,2
RH,Bündnis 90/​Die Grünen,2
MB,Bündnis 90/​Die Grünen,2
BH,Bündnis 90/​Die Grünen,2
RL,Bündnis 90/​Die Grünen,2
DB,Die Linke,2
SW,Die Linke,2
JVA,Die Linke,2
UL,CDU,2
NR,CDU,2
RK,CDU,2
JDW,CDU,2
RP,CDU,2
JS,CDU,2
CL,FDP,2
AL,FDP,2
AGL,FDP,2
MAS,FDP,2
JV,FDP,2
MS,CSU,2