id,name,party,sector,country
KK,Kevin Kühnert,SPD,Politik,Deutschland
JT,Jürgen Trittin,Bündnis 90/​Die Grünen,Politik,Deutschland
DB,Dietmar Bartsch,Die Linke,Politik,Deutschland
AA,Anne Applebaum,none,Journalismus ,Amerika und Polen
AM,Andrij Melnyk,none,Botschaft,Ukraine
IR,Ina Ruck,none,Journalismus ,Deutschland
UL,Ursula von der Leyen,CDU,Politik,Deutschland
LK,Lars Klingbeil ,SPD,Politik,Deutschland
NR,Norbert Röttgen,CDU,Politik,Deutschland
SW,Sahra Wagenknecht,Die Linke,Politik,Deutschland
CS,Constanze Stelzenmüller,none,Jura,Deutschland
CL,Christian Lindner,FDP,Politik,Deutschland
KS,Karl Schlögel,none,Geschichte,Deutschland
LM,Ljudmyla Melnyk,none,Institut,Ukraine
KD,Kristina Dunz,none,Journalismus ,Deutschland
EL,Egils Levits,Latvijas Ceļš,Politik,Lettland
AB,Annalena Baerbock,Bündnis 90/​Die Grünen,Politik,Deutschland
FT,Frans Timmermans,SPE,Politik,Niederlande
AM,Andrij Melnyk,none,Botschaft,Ukraine
AL,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
ER,Egon Ramms,none,Militär,Deutschland
RH,Robert Habeck,Bündnis 90/​Die Grünen,Politik,Deutschland
CM,Claudia Major,none,Wissenschaft,Deutschland
KP,Katja Petrowskaja,none,Journalismus ,Ukraine
RK,Roderich Kiesewetter,CDU,Politik,Deutschland
CLA,Christine Lambrecht,SPD,Politik,Deutschland
AGL,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
SB,Stefanie Babst,none,Politik,Deutschland
CH,Christoph Heusgen,none,Sicherheit,Deutschland
MW,Marina Weisband,none,Journalismus ,Ukraine
OS,Olaf Scholz,SPD,Politik,Deutschland
MS,Markus Söder,CSU,Politik,Deutschland
VG,Veronika Grimm,none,Wissenschaft,Deutschland
MB,Marieluise Beck,Bündnis 90/​Die Grünen,Politik,Deutschland
RA,Robin Alexander,none,Journalismus ,Deutschland
SE,Saskia Esken,SPD,Politik,Deutschland
MAS,Marie-Agnes Strack-Zimmermann,FDP,Politik,Deutschland
JDW,Johann David Wadephul,CDU,Politik,Deutschland
MF,Markus Feldenkirchen,none,Journalismus ,Deutschland
BH,Britta Haßelmann,Bündnis 90/​Die Grünen,Politik,Deutschland
RP,Ruprecht Polenz,CDU,Politik,Deutschland
HW,Harald Welzer,none,Soziologie,Deutschland
MR,Michael Roth,SPD,Politik,Deutschland
MW,Marina Weisband,none,Journalismus ,Deutschland
JVA,Jan van Aken,Die Linke,Politik,Deutschland
CM,Carlo Masala,none,Wissenschaft,Deutschland
DK,Dmytro Kuleba,Sluha narodu,Politik,Ukraine
CM,Claudia Major,none,Wissenschaft,Deutschland
CS,Christoph Schwennicke,none,Journalismus ,Deutschland
JV,Johannes Vogel,FDP,Politik,Deutschland
CK,Claudia Kemfert,none,Wirtschaft,Deutschland
JS,Jens Spahn,CDU,Politik,Deutschland
AM,Anna Mayr,none,Journalismus ,Deutschland
KL,Karl Lauterbach,SPD,Politik,Deutschland
CAD,Christine Aschenberg-Dugnus,FDP,Politik,Deutschland
RL,Ricardo Lange,none,Gesundheit,Deutschland
CB,Christina Berndt,none,Journalismus ,Deutschland
RL,Ricarda Lang,Bündnis 90/​Die Grünen,Politik,Deutschland
RD,Rainer Dulger,none,Politik,Deutschland
MF,Marcel Fratzscher,none,Wissenschaft,Deutschland
NSCH,Nina Scheer,SPD,Politik,Deutschland
PP,Petra Pinzler,none,Journalismus ,Deutschland
MM,Michael Müller,SPD,Politik,Deutschland
ER,Egon Ramms,none,Militär,Deutschland
MS,Martin Schulz,SPD,Politik,Deutschland
MW,Marina Weisband,none,Journalismus ,Ukraine
SP,Sarah Pagung,none,Wissenschaft,Deutschland
VJ,Viktor Jerofejew,none,Journalismus ,Russland
CB,Christina Berndt,none,Journalismus ,Deutschland
RL,Ricardo Lange,none,Gesundheit,Deutschland
SPD,SPD,SPD,Politik,Deutschland
CDU,CDU,CDU,Politik,Deutschland
Bündnis 90/​Die Grünen,Bündnis 90/​Die Grünen,Bündnis 90/​Die Grünen,Politik,Deutschland
FDP,FDP,FDP,Politik,Deutschland
Die Linke,Die Linke,Die Linke,Politik,Deutschland
CSU,CSU,CSU,Politik,Deutschland